Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions
3,Barry,AL,ELECTRIC POWER,1,CA,NG,GAS,"2,813,479,000",0,"588,611","588,611",0,"575,166",Mcf,"34,433.74","31,238.09"
3,Barry,AL,ELECTRIC POWER,1,CT,NG,GAS,"5,004,417,000",0,"54,371,640","54,371,640",0,"53,116,114",Mcf,"3,180,740.94","2,885,549.25"
3,Barry,AL,ELECTRIC POWER,1,ST,BIT,COAL,"4,962,411,861",0,"51,202,482","51,202,482",0,"2,417,558",Tons,"5,263,615.15","4,775,120.34"
3,Barry,AL,ELECTRIC POWER,1,ST,NG,GAS,"116,829,139",0,"1,206,368","1,206,368",0,"1,178,044",Mcf,"70,572.53","64,022.98"
7,Gadsden,AL,ELECTRIC POWER,1,ST,BIT,COAL,"82,694,496",0,"1,261,795","1,261,795",0,"52,109",Tons,"129,712.53","117,674.43"
7,Gadsden,AL,ELECTRIC POWER,1,ST,NG,GAS,"99,309,504",0,"1,479,690","1,479,690",0,"1,463,177",Mcf,"86,561.87","78,528.41"
8,Gorgas,AL,ELECTRIC POWER,1,ST,BIT,COAL,"3,448,785,259",0,"35,224,839","35,224,839",0,"1,485,287",Tons,"3,621,113.45","3,285,052.57"
8,Gorgas,AL,ELECTRIC POWER,1,ST,DFO,PET,"6,846,741",0,"75,140","75,140",0,"12,953",Barrels,"6,060.04","5,497.63"
9,Copper,TX,ELECTRIC POWER,1,GT,NG,GAS,"37,561,000",0,"631,566","631,566",0,"619,790",Mcf,"36,946.61","33,517.75"
10,Greene County,AL,ELECTRIC POWER,1,GT,NG,GAS,"35,711,501",0,"588,223","588,223",0,"579,899",Mcf,"34,411.05","31,217.50"
10,Greene County,AL,ELECTRIC POWER,1,GT,DFO,PET,"268,499",0,"5,517","5,517",0,941,Barrels,444.95,403.65
10,Greene County,AL,ELECTRIC POWER,1,ST,BIT,COAL,"2,233,474,156",0,"22,452,997","22,452,997",0,"951,505",Tons,"2,308,168.09","2,093,956.36"
10,Greene County,AL,ELECTRIC POWER,1,ST,SUB,COAL,"215,148,197",0,"2,234,653","2,234,653",0,"127,839",Tons,"239,331.34","217,119.96"
10,Greene County,AL,ELECTRIC POWER,1,ST,NG,GAS,"14,466,647",0,"148,124","148,124",0,"146,000",Mcf,"8,665.25","7,861.07"
26,E C Gaston,AL,ELECTRIC POWER,1,GT,DFO,PET,"80,000",0,"2,680","2,680",0,463,Barrels,216.14,196.08
26,E C Gaston,AL,ELECTRIC POWER,1,ST,BIT,COAL,"6,983,788,687",0,"70,648,721","70,648,721",0,"2,983,180",Tons,"7,262,688.52","6,588,667.80"
26,E C Gaston,AL,ELECTRIC POWER,1,ST,DFO,PET,"27,898,313",0,"282,428","282,428",0,"48,726",Barrels,"22,777.82","20,663.90"
30,Madelia,MN,ELECTRIC POWER,1,IC,DFO,PET,"-194,000",0,359,359,0,58,Barrels,28.95,26.27
47,Colbert,AL,ELECTRIC POWER,1,GT,NG,GAS,"3,416,478",0,"50,163","50,163",0,"49,258",Mcf,"2,934.54","2,662.19"
47,Colbert,AL,ELECTRIC POWER,1,GT,DFO,PET,"556,522",0,"7,812","7,812",0,"1,343",Barrels,630.04,571.57
47,Colbert,AL,ELECTRIC POWER,1,ST,BIT,COAL,"3,202,563,135",0,"34,919,886","34,919,886",0,"1,852,945",Tons,"3,589,764.28","3,256,612.79"
47,Colbert,AL,ELECTRIC POWER,1,ST,DFO,PET,"12,233,865",0,"133,620","133,620",0,"22,960",Barrels,"10,776.45","9,776.33"
50,Widows Creek,AL,ELECTRIC POWER,1,ST,BIT,COAL,"3,783,363,644",0,"42,464,847","42,464,847",0,"1,831,696",Tons,"4,365,386.27","3,960,252.45"
50,Widows Creek,AL,ELECTRIC POWER,1,ST,DFO,PET,"3,441,356",0,"39,237","39,237",0,"6,780",Barrels,"3,164.46","2,870.78"
51,Dolet Hills,LA,ELECTRIC POWER,1,ST,LIG,COAL,"3,043,574,113",0,"34,894,015","34,894,015",0,"2,579,015",Tons,"3,758,085.42","3,409,312.72"
51,Dolet Hills,LA,ELECTRIC POWER,1,ST,NG,GAS,"13,031,887",0,"155,439","155,439",0,"149,214",Mcf,"9,093.18","8,249.28"
54,J K Smith,KY,ELECTRIC POWER,1,GT,NG,GAS,"368,823,330",0,"4,496,863","4,496,863",0,"4,332,843",Mcf,"263,066.49","238,652.35"
54,J K Smith,KY,ELECTRIC POWER,1,GT,DFO,PET,"249,670",0,"2,968","2,968",0,510,Barrels,239.37,217.15
56,Charles R Lowman,AL,ELECTRIC POWER,1,ST,BIT,COAL,"1,705,667,118",0,"19,208,234","19,208,234",0,"813,890",Tons,"1,974,606.46","1,791,351.22"
56,Charles R Lowman,AL,ELECTRIC POWER,1,ST,DFO,PET,"6,002,882",0,"68,379","68,379",0,"12,432",Barrels,"5,514.77","5,002.96"
59,Platte,NE,ELECTRIC POWER,1,ST,SUB,COAL,"520,158,166",0,"6,227,285","6,227,285",0,"350,370",Tons,"666,942.22","605,046.02"
59,Platte,NE,ELECTRIC POWER,1,ST,DFO,PET,"19,065,834",0,"280,758","280,758",0,"47,748",Barrels,"22,643.13","20,541.72"
60,Whelan Energy Center,NE,ELECTRIC POWER,1,ST,SUB,COAL,"1,778,538,905",0,"18,421,970","18,421,970",0,"1,046,880",Tons,"1,972,992.99","1,789,887.50"
60,Whelan Energy Center,NE,ELECTRIC POWER,1,ST,DFO,PET,"3,374,095",0,"34,994","34,994",0,"6,082",Barrels,"2,822.27","2,560.34"
63,Gold Creek,AK,ELECTRIC POWER,1,IC,DFO,PET,"14,000",0,156,156,0,28,Barrels,12.58,11.41
64,Lemon Creek,AK,ELECTRIC POWER,1,GT,DFO,PET,"231,000",0,"3,907","3,907",0,684,Barrels,315.10,285.86
64,Lemon Creek,AK,ELECTRIC POWER,1,IC,DFO,PET,"200,000",0,"2,226","2,226",0,390,Barrels,179.53,162.87
66,Skagway,AK,ELECTRIC POWER,1,IC,DFO,PET,"138,000",0,"2,522","2,522",0,433,Barrels,203.40,184.52
69,Haines,AK,ELECTRIC POWER,1,IC,DFO,PET,"844,000",0,"11,539","11,539",0,"1,981",Barrels,930.62,844.25
75,Anchorage 1,AK,ELECTRIC POWER,1,GT,NG,GAS,"22,163,022",0,"355,118","355,118",0,"348,154",Mcf,"20,774.40","18,846.41"
75,Anchorage 1,AK,ELECTRIC POWER,1,GT,DFO,PET,"60,978",0,977,977,0,177,Barrels,78.80,71.48
75,Anchorage 1,AK,ELECTRIC POWER,1,IC,DFO,PET,"113,000",0,977,977,0,177,Barrels,78.80,71.48
79,Aurora Energy LLC Chena,AK,ELECTRIC POWER,3,ST,SUB,COAL,"187,843,000","16,208","3,278,493","3,202,218","76,275","214,997",Tons,"351,126.60","318,539.96"
85,S W Bailey,AK,ELECTRIC POWER,1,IC,DFO,PET,"10,204,000",0,"73,786","73,786",0,"12,678",Barrels,"5,950.84","5,398.57"
87,Escalante,NM,ELECTRIC POWER,1,ST,SUB,COAL,"1,511,437,359",0,"16,897,245","16,897,245",0,"913,015",Tons,"1,809,694.94","1,641,744.48"
87,Escalante,NM,ELECTRIC POWER,1,ST,NG,GAS,"1,627,641",0,"18,010","18,010",0,"17,519",Mcf,"1,053.59",955.81
90,Snake River,AK,ELECTRIC POWER,1,IC,DFO,PET,"32,811,000",0,"284,602","284,602",0,"49,069",Barrels,"22,953.15","20,822.96"
91,Petersburg,AK,ELECTRIC POWER,1,IC,DFO,PET,"660,520",0,"6,938","6,938",0,"1,196",Barrels,559.55,507.62
92,Seward (AK),AK,ELECTRIC POWER,1,IC,DFO,PET,"306,000",0,"3,324","3,324",0,573,Barrels,268.08,243.20
95,Wrangell,AK,ELECTRIC POWER,1,IC,DFO,PET,"597,000",0,"8,346","8,346",0,"1,517",Barrels,673.10,610.64
96,Beluga,AK,ELECTRIC POWER,1,CA,NG,GAS,"201,961,000",0,0,0,0,0,Mcf,0.00,0.00
96,Beluga,AK,ELECTRIC POWER,1,CT,NG,GAS,"845,061,000",0,"10,285,290","10,285,290",0,"10,285,290",Mcf,"601,689.47","545,849.10"
96,Beluga,AK,ELECTRIC POWER,1,GT,NG,GAS,"332,722,000",0,"4,664,731","4,664,731",0,"4,664,731",Mcf,"272,886.76","247,561.25"
99,Frederickson,WA,ELECTRIC POWER,1,GT,NG,GAS,"30,244,396",0,"636,695","636,695",0,"613,386",Mcf,"37,246.66","33,789.95"
99,Frederickson,WA,ELECTRIC POWER,1,GT,DFO,PET,"449,604",0,"9,467","9,467",0,"1,616",Barrels,763.51,692.65
108,Holcomb,KS,ELECTRIC POWER,1,ST,SUB,COAL,"2,157,301,809",0,"22,703,550","22,703,550",0,"1,301,637",Tons,"2,431,550.21","2,205,887.88"
108,Holcomb,KS,ELECTRIC POWER,1,ST,NG,GAS,"8,775,191",0,"92,476","92,476",0,"83,573",Mcf,"5,409.85","4,907.78"
109,Dillingham,AK,ELECTRIC POWER,1,IC,DFO,PET,"19,020,000",0,"178,646","178,646",0,"30,748",Barrels,"14,407.80","13,070.67"
113,Cholla,AZ,ELECTRIC POWER,1,ST,SUB,COAL,"6,602,166,822",0,"70,370,266","70,370,266",0,"3,771,340",Tons,"7,536,655.49","6,837,209.01"
113,Cholla,AZ,ELECTRIC POWER,1,ST,NG,GAS,"351,055",0,"3,759","3,759",0,"4,420",Mcf,219.90,199.49
113,Cholla,AZ,ELECTRIC POWER,1,ST,DFO,PET,"4,076,123",0,"43,472","43,472",0,"8,050",Barrels,"3,506.02","3,180.64"
