2015 Carbon Dioxide Emissions at Electrcic Power Plants,,,,,,,,,,,,,,,,
Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions
3,Barry,AL,ELECTRIC POWER,1,CA,NG,GAS,"2,464,536,000",0,"788,125","788,125",0,"770,956",Mcf,"46,104.99","41,826.17"
3,Barry,AL,ELECTRIC POWER,1,CT,NG,GAS,"4,318,717,000",0,"47,195,389","47,195,389",0,"46,149,030",Mcf,"2,760,910.99","2,504,682.02"
3,Barry,AL,ELECTRIC POWER,1,ST,BIT,COAL,"4,559,960,601",0,"46,083,543","46,083,543",0,"2,153,948",Tons,"4,739,486.08","4,299,633.57"
3,Barry,AL,ELECTRIC POWER,1,ST,NG,GAS,"44,348,399",0,"457,069","457,069",0,"446,649",Mcf,"26,738.35","24,256.87"
7,Gadsden,AL,ELECTRIC POWER,1,ST,BIT,COAL,"15,644,693","3,870","207,246","194,345","12,901","8,217",Tons,"21,314.32","19,336.23"
7,Gadsden,AL,ELECTRIC POWER,1,ST,NG,GAS,"199,010,307","56,690","2,704,266","2,515,307","188,959","2,666,874",Mcf,"158,198.46","143,516.70"
8,Gorgas,AL,ELECTRIC POWER,1,ST,BIT,COAL,"4,637,792,819",0,"45,604,527","45,604,527",0,"1,947,751",Tons,"4,690,221.43","4,254,940.97"
8,Gorgas,AL,ELECTRIC POWER,1,ST,DFO,PET,"14,249,181",0,"146,451","146,451",0,"25,217",Barrels,"11,810.54","10,714.45"
9,Copper,TX,ELECTRIC POWER,1,GT,NG,GAS,"24,907,000",0,"441,224","441,224",0,"432,149",Mcf,"25,811.42","23,415.97"
10,Greene County,AL,ELECTRIC POWER,1,GT,NG,GAS,"37,848,326",0,"629,042","629,042",0,"613,942",Mcf,"36,798.70","33,383.56"
10,Greene County,AL,ELECTRIC POWER,1,GT,DFO,PET,"3,788,674",0,"61,189","61,189",0,"10,485",Barrels,"4,934.59","4,476.63"
10,Greene County,AL,ELECTRIC POWER,1,ST,BIT,COAL,"2,197,200,798",0,"22,463,065","22,463,065",0,"956,070",Tons,"2,310,225.67","2,095,822.98"
10,Greene County,AL,ELECTRIC POWER,1,ST,NG,GAS,"10,447,202",0,"106,809","106,809",0,"104,138",Mcf,"6,248.28","5,668.41"
26,E C Gaston,AL,ELECTRIC POWER,1,GT,DFO,PET,"229,000",0,"4,827","4,827",0,833,Barrels,389.27,353.15
26,E C Gaston,AL,ELECTRIC POWER,1,ST,BIT,COAL,"6,366,163,418",0,"64,833,309","64,833,309",0,"2,795,687",Tons,"6,667,815.57","6,049,002.61"
26,E C Gaston,AL,ELECTRIC POWER,1,ST,NG,GAS,"197,876,260",0,"2,005,327","2,005,327",0,"1,944,494",Mcf,"117,310.81","106,423.67"
26,E C Gaston,AL,ELECTRIC POWER,1,ST,DFO,PET,"14,629,322",0,"149,557","149,557",0,"25,877",Barrels,"12,061.02","10,941.69"
30,Madelia,MN,ELECTRIC POWER,1,IC,DFO,PET,"-208,000",0,153,153,0,25,Barrels,12.34,11.19
47,Colbert,AL,ELECTRIC POWER,1,GT,NG,GAS,"5,333,260",0,"109,575","109,575",0,"107,478",Mcf,"6,410.09","5,815.20"
47,Colbert,AL,ELECTRIC POWER,1,GT,DFO,PET,"-154,260",0,"5,922","5,922",0,"1,021",Barrels,477.58,433.26
47,Colbert,AL,ELECTRIC POWER,1,ST,BIT,COAL,"2,674,438,407",0,"28,223,739","28,223,739",0,"1,372,419",Tons,"2,902,685.20","2,633,298.74"
47,Colbert,AL,ELECTRIC POWER,1,ST,DFO,PET,"10,936,593",0,"117,171","117,171",0,"20,202",Barrels,"9,449.26","8,572.31"
50,Widows Creek,AL,ELECTRIC POWER,1,ST,BIT,COAL,"1,626,644,205",0,"18,468,532","18,468,532",0,"781,803",Tons,"1,899,405.83","1,723,129.67"
50,Widows Creek,AL,ELECTRIC POWER,1,ST,DFO,PET,"802,795",0,"9,096","9,096",0,"1,573",Barrels,733.55,665.47
51,Dolet Hills,LA,ELECTRIC POWER,1,ST,LIG,COAL,"4,255,308,069",0,"48,938,064","48,938,064",0,"3,593,100",Tons,"5,270,418.42","4,781,292.23"
51,Dolet Hills,LA,ELECTRIC POWER,1,ST,NG,GAS,"17,736,931",0,"204,829","204,829",0,"195,354",Mcf,"11,982.41","10,870.37"
54,J K Smith,KY,ELECTRIC POWER,1,GT,NG,GAS,"367,191,146",0,"4,444,798","4,444,798",0,"4,167,015",Mcf,"260,018.87","235,887.57"
54,J K Smith,KY,ELECTRIC POWER,1,GT,DFO,PET,"72,854",0,"1,413","1,413",0,243,Barrels,113.95,103.38
56,Charles R Lowman,AL,ELECTRIC POWER,1,ST,BIT,COAL,"1,638,952,684",0,"18,618,712","18,618,712",0,"808,555",Tons,"1,914,851.17","1,737,141.59"
56,Charles R Lowman,AL,ELECTRIC POWER,1,ST,DFO,PET,"8,830,316",0,"102,056","102,056",0,"18,555",Barrels,"8,230.31","7,466.48"
59,Platte,NE,ELECTRIC POWER,1,ST,SUB,COAL,"541,174,095",0,"6,067,158","6,067,158",0,"360,619",Tons,"650,062.80","589,733.11"
59,Platte,NE,ELECTRIC POWER,1,ST,DFO,PET,"587,905",0,"6,650","6,650",0,"1,131",Barrels,536.29,486.52
60,Whelan Energy Center,NE,ELECTRIC POWER,1,ST,SUB,COAL,"1,378,533,063",0,"14,677,922","14,677,922",0,"890,005",Tons,"1,572,659.08","1,426,706.96"
60,Whelan Energy Center,NE,ELECTRIC POWER,1,ST,DFO,PET,"2,003,937",0,"22,039","22,039",0,"3,830",Barrels,"1,777.34","1,612.39"
63,Gold Creek,AK,ELECTRIC POWER,1,IC,DFO,PET,"21,000",0,288,288,0,50,Barrels,23.23,21.07
64,Lemon Creek,AK,ELECTRIC POWER,1,GT,DFO,PET,"100,000",0,"2,120","2,120",0,371,Barrels,170.97,155.10
64,Lemon Creek,AK,ELECTRIC POWER,1,IC,DFO,PET,"193,000",0,"2,022","2,022",0,354,Barrels,163.06,147.93
66,Skagway,AK,ELECTRIC POWER,1,IC,DFO,PET,"-67,000",0,"1,723","1,723",0,296,Barrels,138.95,126.06
69,Haines,AK,ELECTRIC POWER,1,IC,DFO,PET,"-156,000",0,"1,339","1,339",0,230,Barrels,107.98,97.96
75,Anchorage 1,AK,ELECTRIC POWER,1,GT,NG,GAS,"47,759,092",0,"575,406","575,406",0,"569,708",Mcf,"33,661.02","30,537.07"
75,Anchorage 1,AK,ELECTRIC POWER,1,GT,DFO,PET,"22,908",0,278,278,0,50,Barrels,22.42,20.34
75,Anchorage 1,AK,ELECTRIC POWER,1,IC,DFO,PET,0,0,102,102,0,18,Barrels,8.23,7.46
79,Aurora Energy LLC Chena,AK,ELECTRIC POWER,3,ST,SUB,COAL,"198,296,000","21,306","3,432,578","3,332,305","100,273","226,214",Tons,"367,781.96","333,649.61"
85,S W Bailey,AK,ELECTRIC POWER,1,IC,DFO,PET,"-968,000",0,"9,439","9,439",0,"1,622",Barrels,761.21,690.56
87,Escalante,NM,ELECTRIC POWER,1,ST,SUB,COAL,"1,363,998,126",0,"14,939,321","14,939,321",0,"817,932",Tons,"1,600,666.56","1,452,115.17"
87,Escalante,NM,ELECTRIC POWER,1,ST,NG,GAS,"4,603,874",0,"50,867","50,867",0,"48,902",Mcf,"2,975.70","2,699.54"
90,Snake River,AK,ELECTRIC POWER,1,IC,DFO,PET,"29,272,000",0,"262,147","262,147",0,"45,198",Barrels,"21,140.84","19,178.85"
91,Petersburg,AK,ELECTRIC POWER,1,IC,DFO,PET,"806,540",0,"8,562","8,562",0,"1,476",Barrels,690.48,626.40
92,Seward (AK),AK,ELECTRIC POWER,1,IC,DFO,PET,"386,000",0,"3,910","3,910",0,674,Barrels,315.32,286.06
