Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
3,Barry,AL,ELECTRIC POWER,1,CA,NG,GAS,"2,918,277,000",0,"895,285","895,285",0,"878,457",Mcf,"52,374","47,513",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
3,Barry,AL,ELECTRIC POWER,1,CT,NG,GAS,"5,483,083,000",0,"57,790,622","57,790,622",0,"56,694,492",Mcf,"3,380,728","3,066,976",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
3,Barry,AL,ELECTRIC POWER,1,ST,BIT,COAL,"4,278,313,064",0,"43,137,858","43,137,858",0,"2,044,002",Tons,"4,436,536","4,024,799",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
3,Barry,AL,ELECTRIC POWER,1,ST,NG,GAS,"91,217,936",0,"926,020","926,020",0,"908,006",Mcf,"54,172","49,144",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
7,Gadsden,AL,ELECTRIC POWER,1,ST,NG,GAS,"190,978,000","133,494","2,612,250","2,207,718","404,532","2,570,783",Mcf,"152,816","138,633",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
8,Gorgas,AL,ELECTRIC POWER,1,ST,BIT,COAL,"5,481,975,915",0,"53,420,676","53,420,676",0,"2,226,626",Tons,"5,494,077","4,984,194",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
8,Gorgas,AL,ELECTRIC POWER,1,ST,DFO,PET,"12,465,085",0,"125,698","125,698",0,"21,722",Barrels,"10,137","9,196",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
9,Copper,TX,ELECTRIC POWER,1,GT,NG,GAS,"33,073,000",0,"546,763","546,763",0,"522,718",Mcf,"31,985","29,017",WECC,EPE,El Paso Electric Company,Southwest
10,Greene County,AL,ELECTRIC POWER,1,GT,NG,GAS,"156,837,001",0,"2,054,244","2,054,244",0,"1,991,576",Mcf,"120,172","109,020",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
10,Greene County,AL,ELECTRIC POWER,1,GT,DFO,PET,"5,999",0,75,75,0,13,Barrels,6,5,SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
10,Greene County,AL,ELECTRIC POWER,1,ST,BIT,COAL,"525,671,207",0,"5,329,105","5,329,105",0,"234,982",Tons,"548,075","497,210",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
10,Greene County,AL,ELECTRIC POWER,1,ST,NG,GAS,"627,119,793",0,"7,047,509","7,047,509",0,"6,830,383",Mcf,"412,276","374,015",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
26,E C Gaston,AL,ELECTRIC POWER,1,GT,DFO,PET,"132,000",0,"3,267","3,267",0,563,Barrels,263,239,SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
26,E C Gaston,AL,ELECTRIC POWER,1,ST,BIT,COAL,"3,774,469,502",0,"39,353,677","39,353,677",0,"1,691,020",Tons,"4,047,349","3,671,731",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
26,E C Gaston,AL,ELECTRIC POWER,1,ST,NG,GAS,"505,818,498",0,"5,365,328","5,365,328",0,"5,211,436",Mcf,"313,869","284,741",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
30,Madelia,MN,ELECTRIC POWER,1,IC,DFO,PET,"-163,000",0,484,484,0,78,Barrels,39,35,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Midwest
47,Colbert,AL,ELECTRIC POWER,1,GT,NG,GAS,"1,938,108",0,"57,802","57,802",0,"56,726",Mcf,"3,381","3,068",SERC,TVA,Tennessee Valley Authority,Tennessee Valley Authority
47,Colbert,AL,ELECTRIC POWER,1,GT,DFO,PET,"441,892",0,"13,249","13,249",0,"2,286",Barrels,"1,068",969,SERC,TVA,Tennessee Valley Authority,Tennessee Valley Authority
47,Colbert,AL,ELECTRIC POWER,1,ST,BIT,COAL,"739,246,850",0,"8,531,305","8,531,305",0,"392,404",Tons,"877,407","795,978",SERC,TVA,Tennessee Valley Authority,Tennessee Valley Authority
47,Colbert,AL,ELECTRIC POWER,1,ST,DFO,PET,"2,706,150",0,"31,373","31,373",0,"5,409",Barrels,"2,530","2,295",SERC,TVA,Tennessee Valley Authority,Tennessee Valley Authority
51,Dolet Hills,LA,ELECTRIC POWER,1,ST,LIG,COAL,"3,367,664,589",0,"39,127,908","39,127,908",0,"2,851,744",Tons,"4,213,907","3,822,831",SPP,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Midwest
51,Dolet Hills,LA,ELECTRIC POWER,1,ST,NG,GAS,"17,252,411",0,"200,841","200,841",0,"192,149",Mcf,"11,749","10,659",SPP,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Midwest
54,J K Smith,KY,ELECTRIC POWER,1,GT,NG,GAS,"222,766,040",0,"2,866,450","2,866,450",0,"2,689,112",Mcf,"167,686","152,124",SERC,PJM,"PJM Interconnection, LLC",Mid-Atlantic
54,J K Smith,KY,ELECTRIC POWER,1,GT,DFO,PET,"656,960",0,"8,723","8,723",0,"1,499",Barrels,703,638,SERC,PJM,"PJM Interconnection, LLC",Mid-Atlantic
56,Charles R Lowman,AL,ELECTRIC POWER,1,ST,BIT,COAL,"1,470,743,544",0,"16,717,799","16,717,799",0,"723,764",Tons,"1,719,351","1,559,785",SERC,AEC,PowerSouth Energy Cooperative,Southeast
56,Charles R Lowman,AL,ELECTRIC POWER,1,ST,DFO,PET,"9,948,456",0,"114,436","114,436",0,"20,806",Barrels,"9,229","8,372",SERC,AEC,PowerSouth Energy Cooperative,Southeast
